Incident_ID,Created_Date,Resolved_Date,closed_at,priority,category,Assigned_To,SLA_Status,Resolution_Time,Category,Priority
INC0000045,2016-02-29 01:16:00,2016-02-29 11:29:00,5/3/2016 12:00,3 - Moderate,Category 55,Group 56,Met,0.0,Category 55,3 - Moderate
INC0000047,2016-02-29 04:40:00,2016-03-01 09:52:00,6/3/2016 10:00,3 - Moderate,Category 40,Group 24,Met,1.0,Category 40,3 - Moderate
INC0000057,2016-02-29 06:10:00,2016-03-01 02:55:00,6/3/2016 03:00,3 - Moderate,Category 20,Group 70,Met,0.0,Category 20,3 - Moderate
INC0000060,2016-02-29 06:38:00,2016-03-02 12:06:00,7/3/2016 13:00,3 - Moderate,Category 9,Group 25,Met,2.0,Category 9,3 - Moderate
INC0000062,2016-02-29 06:58:00,2016-02-29 15:51:00,5/3/2016 16:00,2 - High,Category 53,Group 23,Breached,0.0,Category 53,2 - High
INC0000063,2016-02-29 07:08:00,2016-02-29 16:01:00,5/3/2016 17:00,3 - Moderate,Category 20,Group 23,Met,0.0,Category 20,3 - Moderate
INC0000064,2016-02-29 07:10:00,2016-03-03 16:00:00,8/3/2016 17:00,3 - Moderate,Category 53,Group 28,Met,3.0,Category 53,3 - Moderate
INC0000065,2016-02-29 07:38:00,2016-03-02 15:21:00,7/3/2016 16:00,3 - Moderate,Category 45,Group 33,Met,2.0,Category 45,3 - Moderate
INC0000066,2016-02-29 08:03:00,2016-03-02 14:37:00,7/3/2016 15:00,3 - Moderate,Category 55,Group 54,Met,2.0,Category 55,3 - Moderate
INC0000067,2016-02-29 08:03:00,2016-03-02 11:11:00,7/3/2016 12:00,3 - Moderate,Category 9,Group 28,Met,2.0,Category 9,3 - Moderate
INC0000070,2016-02-29 08:11:00,2016-03-08 09:55:00,24/3/2016 18:40,3 - Moderate,Category 9,Group 29,Breached,8.0,Category 9,3 - Moderate
INC0000071,2016-02-29 08:12:00,2016-03-01 10:38:00,6/3/2016 11:00,3 - Moderate,Category 9,Group 24,Met,1.0,Category 9,3 - Moderate
INC0000073,2016-02-29 08:22:00,2016-03-01 15:37:00,6/3/2016 16:00,3 - Moderate,Category 53,Group 54,Met,1.0,Category 53,3 - Moderate
INC0000074,2016-02-29 08:23:00,2016-04-11 14:39:00,16/4/2016 15:07,3 - Moderate,Category 45,Group 66,Breached,42.0,Category 45,3 - Moderate
INC0000076,2016-02-29 08:25:00,2016-02-29 16:27:00,5/3/2016 17:00,3 - Moderate,Category 42,Group 23,Met,0.0,Category 42,3 - Moderate
INC0000077,2016-02-29 08:27:00,2016-02-29 09:04:00,5/3/2016 10:00,3 - Moderate,Category 32,Group 70,Met,0.0,Category 32,3 - Moderate
INC0000079,2016-02-29 08:32:00,2016-02-29 11:20:00,5/3/2016 12:00,3 - Moderate,Category 55,Group 65,Met,0.0,Category 55,3 - Moderate
INC0000080,2016-02-29 08:33:00,2016-03-02 11:40:00,7/3/2016 12:00,3 - Moderate,Category 32,Group 70,Met,2.0,Category 32,3 - Moderate
INC0000083,2016-02-29 08:39:00,2016-02-29 16:05:00,5/3/2016 17:00,4 - Low,Category 24,Group 23,Met,0.0,Category 24,4 - Low
INC0000084,2016-02-29 08:39:00,2016-04-12 14:46:00,17/4/2016 15:07,4 - Low,Category 45,Group 66,Breached,43.0,Category 45,4 - Low
INC0000085,2016-02-29 08:41:00,2016-03-02 14:44:00,7/3/2016 15:00,3 - Moderate,Category 20,Group 54,Met,2.0,Category 20,3 - Moderate
INC0000086,2016-02-29 08:43:00,2016-03-01 15:45:00,6/3/2016 16:00,3 - Moderate,Category 24,Group 23,Met,1.0,Category 24,3 - Moderate
INC0000087,2016-02-29 08:47:00,2016-03-02 14:46:00,7/3/2016 15:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000088,2016-02-29 08:48:00,2016-02-29 09:05:00,5/3/2016 10:00,3 - Moderate,Category 42,Group 70,Met,0.0,Category 42,3 - Moderate
INC0000089,2016-02-29 08:51:00,2016-03-03 14:35:00,8/3/2016 15:00,4 - Low,Category 45,Group 33,Met,3.0,Category 45,4 - Low
INC0000092,2016-02-29 08:55:00,2016-03-07 08:45:00,12/3/2016 09:00,3 - Moderate,Category 53,Group 72,Breached,6.0,Category 53,3 - Moderate
INC0000093,2016-02-29 08:56:00,,5/3/2016 10:00,3 - Moderate,Category 61,Group 70,Met,,Category 61,3 - Moderate
INC0000094,2016-02-29 08:58:00,2016-03-10 10:45:00,24/3/2016 18:50,4 - Low,Category 45,Group 66,Breached,10.0,Category 45,4 - Low
INC0000098,2016-02-29 09:02:00,2016-03-02 14:51:00,7/3/2016 15:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000099,2016-02-29 09:03:00,2016-03-01 09:05:00,6/3/2016 10:00,3 - Moderate,Category 24,Group 30,Met,1.0,Category 24,3 - Moderate
INC0000100,2016-02-29 09:05:00,2016-03-02 14:53:00,7/3/2016 15:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000101,2016-02-29 09:05:00,2016-02-29 11:00:00,5/3/2016 12:00,4 - Low,Category 55,Group 65,Met,0.0,Category 55,4 - Low
INC0000102,2016-02-29 09:06:00,2016-03-17 16:28:00,24/3/2016 18:59,3 - Moderate,Category 37,Group 23,Breached,17.0,Category 37,3 - Moderate
INC0000103,2016-02-29 09:07:00,2016-03-02 14:54:00,7/3/2016 15:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000104,2016-02-29 09:08:00,2016-03-01 11:55:00,6/3/2016 12:00,2 - High,Category 53,Group 30,Breached,1.0,Category 53,2 - High
INC0000105,2016-02-29 09:10:00,2016-02-29 11:58:00,5/3/2016 12:00,3 - Moderate,Category 45,Group 55,Met,0.0,Category 45,3 - Moderate
INC0000110,2016-02-29 09:13:00,2016-03-02 14:55:00,7/3/2016 15:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000111,2016-02-29 09:14:00,2016-03-02 14:56:00,7/3/2016 15:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000112,2016-02-29 09:15:00,2016-03-02 15:13:00,7/3/2016 16:00,3 - Moderate,Category 37,Group 23,Met,2.0,Category 37,3 - Moderate
INC0000113,2016-02-29 09:18:00,2016-03-02 19:30:00,7/3/2016 20:00,3 - Moderate,Category 55,Group 25,Met,2.0,Category 55,3 - Moderate
INC0000114,2016-02-29 09:18:00,2016-03-03 01:18:00,8/3/2016 02:00,3 - Moderate,Category 53,Group 70,Met,2.0,Category 53,3 - Moderate
INC0000115,2016-02-29 09:20:00,2016-03-01 08:50:00,6/3/2016 09:00,3 - Moderate,Category 9,Group 24,Met,0.0,Category 9,3 - Moderate
INC0000116,2016-02-29 09:20:00,2016-03-01 12:02:00,6/3/2016 13:00,3 - Moderate,Category 37,Group 47,Met,1.0,Category 37,3 - Moderate
INC0000119,2016-02-29 09:22:00,2016-03-01 09:03:00,6/3/2016 10:00,3 - Moderate,Category 9,Group 24,Met,0.0,Category 9,3 - Moderate
INC0000121,2016-02-29 09:25:00,2016-02-29 16:31:00,5/3/2016 17:00,3 - Moderate,Category 53,Group 23,Met,0.0,Category 53,3 - Moderate
INC0000122,2016-02-29 09:27:00,2016-03-01 16:50:00,6/3/2016 17:00,3 - Moderate,Category 45,Group 22,Met,1.0,Category 45,3 - Moderate
INC0000123,2016-02-29 09:29:00,2016-03-02 14:56:00,7/3/2016 15:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000124,2016-02-29 09:30:00,2016-02-29 11:05:00,5/3/2016 12:00,3 - Moderate,Category 53,Group 33,Met,0.0,Category 53,3 - Moderate
INC0000125,2016-02-29 09:31:00,2016-03-01 08:32:00,6/3/2016 09:00,3 - Moderate,Category 9,Group 27,Met,0.0,Category 9,3 - Moderate
INC0000126,2016-02-29 09:31:00,2016-03-02 14:57:00,7/3/2016 15:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000128,2016-02-29 09:36:00,2016-03-11 12:15:00,24/3/2016 18:50,3 - Moderate,Category 44,Group 39,Breached,11.0,Category 44,3 - Moderate
INC0000129,2016-02-29 09:40:00,2016-03-22 13:30:00,27/3/2016 13:59,3 - Moderate,Category 23,Group 24,Breached,22.0,Category 23,3 - Moderate
INC0000130,2016-02-29 09:41:00,2016-03-03 10:16:00,8/3/2016 11:00,3 - Moderate,Category 61,Group 73,Met,3.0,Category 61,3 - Moderate
INC0000131,2016-02-29 09:41:00,2016-03-03 09:27:00,8/3/2016 10:00,3 - Moderate,Category 45,Group 66,Met,2.0,Category 45,3 - Moderate
INC0000132,2016-02-29 09:42:00,2016-03-03 15:18:00,8/3/2016 16:00,3 - Moderate,Category 9,Group 23,Met,3.0,Category 9,3 - Moderate
INC0000134,2016-02-29 09:44:00,2016-03-03 08:21:00,8/3/2016 09:00,4 - Low,Category 62,Group 73,Met,2.0,Category 62,4 - Low
INC0000135,2016-02-29 09:45:00,2016-02-29 16:17:00,5/3/2016 17:00,3 - Moderate,Category 53,Group 70,Met,0.0,Category 53,3 - Moderate
INC0000137,2016-02-29 09:48:00,2016-02-29 11:03:00,5/3/2016 12:00,3 - Moderate,Category 32,Group 70,Met,0.0,Category 32,3 - Moderate
INC0000139,2016-02-29 09:50:00,2016-03-01 09:56:00,6/3/2016 10:00,3 - Moderate,Category 53,Group 54,Met,1.0,Category 53,3 - Moderate
INC0000140,2016-02-29 09:51:00,2016-03-03 11:59:00,8/3/2016 12:00,3 - Moderate,Category 9,Group 25,Met,3.0,Category 9,3 - Moderate
INC0000141,2016-02-29 09:52:00,2016-03-02 14:58:00,7/3/2016 15:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000146,2016-02-29 09:57:00,2016-03-02 14:59:00,7/3/2016 15:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000147,2016-02-29 10:00:00,2016-03-14 09:49:00,19/3/2016 10:00,3 - Moderate,Category 53,Group 25,Breached,13.0,Category 53,3 - Moderate
INC0000148,2016-02-29 10:00:00,2016-03-02 15:00:00,7/3/2016 16:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000149,2016-02-29 10:01:00,2016-03-02 15:01:00,7/3/2016 16:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000152,2016-02-29 10:08:00,2016-03-03 09:23:00,8/3/2016 10:00,3 - Moderate,Category 53,Group 30,Met,2.0,Category 53,3 - Moderate
INC0000153,2016-02-29 10:10:00,2016-03-02 14:55:00,7/3/2016 15:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000155,2016-02-29 10:12:00,2016-03-02 15:02:00,7/3/2016 16:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000156,2016-02-29 10:14:00,2016-03-02 15:02:00,7/3/2016 16:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000158,2016-02-29 10:17:00,2016-03-02 15:06:00,7/3/2016 16:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
